ID,Boederij,Type Meststof,Opbrengst Mais
1,de Jong,SuperDash,83
2,de Jong,SuperDash,96
3,de Jong,SuperDash,-99
4,de Jong,SuperDash,73
5,de Jong,SuperDash,84
6,de Jong,SuperDash,82
7,de Jong,SuperDash,88
8,de Jong,SuperDash,80
9,de Jong,SuperDash,74
10,de Jong,SuperDash,83
11,de Jong,Miracle,101
12,de jong,Miracle,103
13,de Jong,Miracle,108
14,de Jong,Miracle,98
15,de Jong,Miracle,98
16,de Jong,Miracle,109
17,de Jong,Miracle,121
18,de Jong,Miracle,112
19,de Jong,Miracle,109
20,de Jong,Miracle,101
21,de Jong,Efficientie,132
22,de Jong,Efficientie,120
23,de Jong,Efficientie,136
24,de Jong,Efficientie,135
25,de Jong,Efficientie,126
26,de Jong,Efficientie,134
27,de Jong,Efficientie,137
28,de Jong,Efficientie,150
29,de Jong,Efficientie,128
30,de jong,Efficientie,125
31,de Kerk,SuperDash,86
32,de Kerk,SuperDash,96
33,de Kerk,SuperDash,80
34,de Kerk,SuperDash,92
35,de Kerk,SuperDash,99
36,de Kerk,SuperDash,92
37,de Kerk,SuperDash,90
38,de Kerk,SuperDash,87
39,de Kerk,SuperDash,84
40,de Kerk,SuperDash,95
41,de Kerk,Miracle,127
42,de Kerk,Miracle,102
43,de Kerk,Miracle,107
44,de Kerk,Miracle,99
45,de Kerk,Miracle,/
46,de Kerk,Miracle,107
47,de Kerk,Miracle,104
48,de Kerk,Miracle,100
49,de Kerk,Miracle,100
50,de Kerk,Miracle,110
51,de Kerk,Efficientie,125
52,de Kerk,Efficientie,126
53,de Kerk,Efficientie,120
54,de Kerk,Efficientie,129
55,de Kerk,Efficientie,124
56,de Kerk,Efficientie,127
57,de Kerk,Efficientie,140
58,de Kerk,Efficientie,128
59,de Kerk,Efficientie,128
60,de Kerk,Efficientie,137
61,van de Boer,SuperDash,93
62,van de Boer,SuperDash,82
63,van de Boer,SuperDash,91
64,van de Boer,SuperDash,94
65,van de Boer,SuperDash,90
66,van de Boer,SuperDash,83
67,van de Boer,SuperDash,99
68,van de Boer,SuperDash,87
69,van de Boer,SuperDash,100
70,van de Boer,SuperDash,*
71,van de Boer,Miracle,107
72,van de Boer,Miracle,105
73,van de Boer,Miracle,103
74,van de Boer,Miracle,117
75,van de Boer,Miracle,103
76,van de Boer,Miracle,108
77,van de Boer,Miracle,115
78,van de Boer,Miracle,93
79,van de Boer,Miracle,102
80,van de Boer,Miracle,110
81,van de Boer,Efficientie,131
82,van de Boer,Efficientie,127
83,van de Boer,Efficientie,136
84,van de Boer,Efficientie,133
85,van de Boer,Efficientie,117
86,van de Boer,Efficientie,142
87,van de Boer,Efficientie,.
88,van de Boer,Efficientie,128
89,van de Boer,Efficientie,125
90,van de Boer,Efficientie,136
